"Question number","Question","a","b","c","d",""
"1","What is the capital city of Canada?","Toronto","Vancouver","Ottawa","Montreal",""
"2","Which country has the largest population in the world?","India","China","USA","Indonesia",""
"3","The Great Barrier Reef is located in which country?","South Africa","Mexico","Australia","Thailand",""
"4","Which river is the longest in the world?","Amazon","Yangtze","Nile","Mississippi",""
"5","What currency is used in Japan?","Yen","Won","Yuan","Ringgit",""
"6","Mount Everest lies between which two countries?","Nepal and China","India and Bhutan","China and Pakistan","India and Nepal",""
"7","What is the official language of Brazil?","Spanish","Portuguese","French","English",""
"8","Who was the first man to walk on the moon?","Yuri Gagarin","Neil Armstrong","Buzz Aldrin","John Glenn",""
"9","Which continent has the most countries?","Europe","Asia","Africa","South America",""
"10","What is the smallest country in the world by land area?","Monaco","Vatican City","Liechtenstein","San Marino",""
"11","What is the most spoken language in the world by number of native speakers?","English","Hindi","Spanish","Mandarin Chinese",""
"12","Which ocean is the largest by surface area?","Indian","Atlantic","Pacific","Arctic",""
"13","Which city hosted the 2016 Summer Olympics?","London","Beijing","Rio de Janeiro","Tokyo",""
"14","What is the national animal of China?","Tiger","Giant Panda","Elephant","Crane",""
"15","Who is the current monarch of the United Kingdom as of 2025?","Prince William","Queen Elizabeth II","King Charles III","Prince Harry",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","if you need any help with Qlik contact me on LinkedIn or on my email: pb@bpx.pl ","","","","",""
"","Good luck! Przemek Blicharski","","","","",""
